sampleid	genus	species_river	species_waveformtype	species	locality	river	sex	SL	parasite	waveformtype	primerset	both_primersets	seq_plate	main_river	seq_run	code2
321BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	male	111	0	BP	BF2+BR1	yes	3	bambomo	2	321BF2
325BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	87	0	BP	BF2+BR1	yes	3	bambomo	2	325BF2
410BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	84	1	TP	BF2+BR1	yes	3	apassa	2	410BF2
413BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	juvenile	59	4	TP	BF2+BR1	yes	3	apassa	2	413BF2
415BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	62	0	TP	BF2+BR1	yes	3	apassa	2	415BF2
416BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	60	1	TP	BF2+BR1	yes	3	apassa	2	416BF2
429BF2	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris BP	Mormyrops zanchlirostris	2019-026	bale	male	109	NA	BP	BF2+BR1	yes	3	bale	2	429BF2
474BF2	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris BP	Mormyrops zanchlirostris	2019-026	bale	male	129	0	BP	BF2+BR1	yes	3	bale	2	474BF2
482BF2	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	38	0	TP	BF2+BR1	yes	3	bale	2	482BF2
152BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	103	0	BP	BF2+BR1	yes	3	bambomo	2	152BF2
274BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	104	1	TP	BF2+BR1	yes	3	apassa	2	274BF2
320BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	male	129	1	BP	BF2+BR1	yes	3	bambomo	2	320BF2
324BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	96	1	BP	BF2+BR1	yes	3	bambomo	2	324BF2
327BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	78	0	BP	BF2+BR1	yes	3	bambomo	2	327BF2
442BF2	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	juvenile	48	NA	BP	BF2+BR1	yes	3	bale	2	442BF2
476BF2	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	41	NA	TP	BF2+BR1	yes	4	bale	2	476BF2
242BF2	Mormyrops	Mormyrops nigricans above_falls	Mormyrops nigricans BP	Mormyrops nigricans	2019-019	above_falls	NA	271	0	BP	BF2+BR1	yes	4	above_falls	2	242BF2
506BF2	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	NA	35	NA	BP	BF2+BR1	yes	4	bale	2	506BF2
219BF2	Paramormyrops	P. ngounensis below_falls	P. ngounensis BP	P. ngounensis	2019-015	below_falls	NA	150	0	BP	BF2+BR1	yes	4	below_falls	2	219BF2
239BF2	Paramormyrops	P. offouensis above_falls	P. offouensis BP	P. offouensis	2019-019	above_falls	male	132	0	BP	BF2+BR1	no	4	above_falls	2	239BF2
243BF2	Mormyrops	Mormyrops nigricans above_falls	Mormyrops nigricans BP	Mormyrops nigricans	2019-019	above_falls	male	160	0	BP	BF2+BR1	yes	4	above_falls	2	243BF2
362BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	80	0	BP	BF2+BR1	yes	4	bambomo	2	362BF2
504BF2	Paramormyrops	P. tenuicauda bale	P. tenuicauda BP	P. tenuicauda	2019-026	bale	NA	46	0	BP	BF2+BR1	no	4	bale	2	504BF2
430BF2	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris BP	Mormyrops zanchlirostris	2019-026	bale	NA	183	NA	BP	BF2+BR1	yes	4	bale	2	430BF2
279BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	90	0	TP	BF2+BR1	yes	4	apassa	2	279BF2
246BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	male	103	0	BP	BF2+BR1	no	4	bambomo	2	246BF2
313BF2	Paramormyrops	kingsleyae bambomo_3rivers	kingsleyae BP	kingsleyae	2019-022	bambomo_3rivers	female	86	0	BP	BF2 + BR1	yes	6	bambomo	3	313BF2
444BF2	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	juvenile	49	NA	BP	BF2 + BR1	yes	6	bale	3	444BF2
435BF2	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	NA	85	NA	BP	BF2 + BR1	yes	6	bale	3	435BF2
436BF2	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	female	110	NA	BP	BF2 + BR1	yes	6	bale	3	436BF2
507BF2	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris BP	Mormyrops zanchlirostris	2019-026	bale	NA	90	NA	BP	BF2 + BR1	yes	6	bale	3	507BF2
275BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	100	0	TP	BF2 + BR1	yes	6	apassa	3	275BF2
154BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	78	0	BP	BF2 + BR1	yes	6	bambomo	3	154BF2
