sampleid	genus	species_river	species_waveform	species	locality	river	sex	SL	parasite	waveformtype	primerset	both_primersets	seq_plate	main_river	seq_run	code2
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical categorical numeric	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
408	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	84	1	TP	mlCOIintF+BR2	yes	2	apassa	2	408
410	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	84	1	TP	mlCOIintF+BR2	yes	2	apassa	2	410
413	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	juvenile	59	4	TP	mlCOIintF+BR2	yes	2	apassa	2	413
416	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	60	1	TP	mlCOIintF+BR2	yes	2	apassa	2	416
429	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris BP	M. zanchlirostrus	2019-026	bale	male	109	NA	BP	mlCOIintF+BR2	yes	2	bale	2	429
453	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	juvenile	72	NA	TP	mlCOIintF+BR2	no	2	bale	2	453
474	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris BP	M. zanchlirostrus	2019-026	bale	male	129	0	BP	mlCOIintF+BR2	yes	2	bale	2	474
482	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	38	0	TP	mlCOIintF+BR2	yes	2	bale	2	482
80	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	115	0	BP	mlCOIintF+BR2	no	2	mengono	2	80
90	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	88	0	BP	mlCOIintF+BR2	no	2	mengono	2	90
92	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	juvenile	80	0	BP	mlCOIintF+BR2	no	2	mengono	2	92
102	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	102	0	TP	mlCOIintF+BR2	no	2	iboundji	2	102
152	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	103	0	BP	mlCOIintF+BR2	yes	2	bambomo	2	152
242	Mormyrops	Mormyrops nigricans above_falls	Mormyrops nigricans BP	Mormyrops nigricans	2019-019	above_falls	NA	271	0	BP	mlCOIintF+BR2	yes	2	above_falls	2	242
318	Paramormyrops	P. kingsleyae bambomo_3rivers	P. kingsleyae BP	P. kingsleyae	2019-022	bambomo_3rivers	male	66	0	BP	mlCOIintF+BR2	no	2	bambomo	2	318
320	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	male	129	1	BP	mlCOIintF+BR2	yes	2	bambomo	2	320
324	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	96	1	BP	mlCOIintF+BR2	yes	2	bambomo	2	324
435	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	NA	85	NA	BP	mlCOIintF+BR2	no	2	bale	2	435
451	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	female	63	NA	TP	mlCOIintF+BR2	yes	2	bale	2	451
478	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	38	NA	TP	mlCOIintF+BR2	yes	2	bale	2	478
4	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	106	0	TP	mlCOIintF+BR2	yes	2	iboundji	2	4
